Date,Last,Open,Max,Min,Volume, variation (%)
03.05.2022,8590.2,8501.9,8590.2,8477.1,173.28,1.83
04.05.2022,8500.5,8594.8,8612.1,8498.4,158.31,-1.04
05.05.2022,8434.7,8636.7,8651.2,8427.6,252.4,-0.77
06.05.2022,8322,8398.6,8406.5,8283.6,314.49,-1.34
09.05.2022,8139.2,8280.1,8358.4,8139.2,192.93,-2.2
10.05.2022,8139.2,8219.3,8259,8138.9,204.42,0
11.05.2022,8312.6,8187.1,8316.8,8138.5,199.58,2.13
12.05.2022,8200.4,8183.2,8257.1,8134.5,202.06,-1.35
13.05.2022,8338.1,8263.4,8338.1,8244.7,148.6,1.68
16.05.2022,8353.7,8316.3,8383.2,8284.8,118.78,0.19
17.05.2022,8475.7,8422.5,8488.9,8409.4,156.31,1.46
18.05.2022,8476.4,8492.8,8546.4,8454.8,156.4,0.01
19.05.2022,8406,8416.1,8436.6,8341.7,155.48,-0.83
20.05.2022,8484.5,8464.9,8546.9,8456.1,172.38,0.93
23.05.2022,8625.8,8600.4,8625.8,8514.7,166.88,1.67
24.05.2022,8631.2,8537.8,8654,8534.3,207.03,0.06
25.05.2022,8760.2,8723.1,8773.9,8652.2,203.49,1.49
26.05.2022,8888.8,8787.5,8901.2,8780,203.82,1.47
27.05.2022,8933.6,8904,8937.7,8873,194.95,0.5
30.05.2022,8930.8,8975.6,8992.7,8905.6,159.28,-0.03
31.05.2022,8851.5,8898.8,8922.8,8836.9,314.82,-0.89
01.06.2022,8747.2,8881.3,8909.3,8736.7,163.2,-1.18
02.06.2022,8744.1,8778.9,8793.2,8709,103.69,-0.04
03.06.2022,8724.8,8800.7,8808.2,8706.4,95.87,-0.22
06.06.2022,8836.3,8785.3,8852.3,8768.2,124.14,1.28
07.06.2022,8841.6,8793.3,8848.8,8793.3,139.32,0.06
08.06.2022,8842.7,8876.7,8881.6,8791,145.18,0.01
09.06.2022,8711.2,8812.5,8836.3,8707.8,174.01,-1.49
10.06.2022,8390.6,8662,8671.3,8362.8,271.5,-3.68
